EIA_ID,plant,state,gauge_id,gauge_source,data_type,data_type_id,timestep,units,notes,update_flag
362,Santa Ana 2,CA,11051501;60;3,USGS,outflow-aggregate,,D,cfs,downstream aggregate gauge,NA
150,Stewart Mountain,AZ,9502000;60;3,USGS,outflow-total,,D,cfs,NA,1
152,Davis,AZ,9423000;60;3,USGS,outflow-total,,D,cfs,NA,1
153,Glen Canyon,AZ,9380000;60;3,USGS,outflow-total,,D,cfs,NA,1
154,Hoover Dam (NV),NV,9421500;60;3,USGS,outflow-total,,D,cfs,combined with Hoover Dam (AZ),1
225,Chili Bar,CA,11444500;60;3,USGS,outflow-total,,D,cfs,NA,1
230,Crane Valley,CA,11243500+11244000;60;3,USGS,outflow-total,,D,cfs,total dam release is combination of canal flow release and river release,1
238,El Dorado,CA,11439000;60;3,USGS,outflow-total,,D,cfs,canal upstream of pp; misses effect of forebay,1
258,Merced Falls,CA,11270900;60;3,USGS,outflow-total,,D,cfs,misses irrigation diversions,1
272,Poe,CA,11404901;60;3,USGS,outflow-total,,D,cfs,NA,1
291,West Point,CA,11316700;60;3,USGS,outflow-total,,D,cfs,NA,1
296,Fall Creek,CA,11512000;60;3,USGS,outflow-total,,D,cfs,NA,1
297,Iron Gate,OR,11516530;60;3,USGS,outflow-total,,D,cfs,NA,1
343,Lytle Creek,CA,11062000;60;3,USGS,outflow-total,,D,cfs,diversion to powerhouse in canal/conduit,1
380,Dion R Holm,CA,11278400;60;3,USGS,outflow-total,,D,cfs,1km downstream,1
385,Drop 2,CA,9527700;60;3,USGS,outflow-total,,D,cfs,1km downstream,1
388,Pilot Knob,CA,9527000;60;3,USGS,outflow-total,,D,cfs,"potential just turbine flow, but unclear from gauge description",1
410,McSwain,CA,11270900;60;3,USGS,outflow-total,,D,cfs,gauge downsteam of Merced Falls,1
415,Donnells,CA,11292700;60;3,USGS,outflow-total,,D,cfs,gauge may be just above pp (supplied by conduit),1
437,Edward C Hyatt,CA,11406820;60;3,USGS,outflow-total,,D,cfs,NA,1
438,Thermalito,CA,11407000;60;3,USGS,outflow-total,,D,cfs,misses effect of Thermalito afterbay,1
440,La Grange,CA,11289650;60;3,USGS,outflow-total,,D,cfs,NA,1
443,Keswick,CA,11370500;60;3,USGS,outflow-total,,D,cfs,NA,1
444,Nimbus,CA,11446500;60;3,USGS,outflow-total,,D,cfs,NA,1
447,Parker,CA,9427520;60;3,USGS,outflow-total,,D,cfs,NA,1
489,Upper Dawson,CA,11289500;60;3,USGS,outflow-total,,D,cfs,may miss some storage effects,1
505,Boysen,WY,6259000;60;3,USGS,outflow-total,,D,cfs,NA,1
516,Green Mountain,CO,9057500;60;3,USGS,outflow-total,,D,cfs,NA,1
531,Camp Far West,CA,11423800;60;3,USGS,outflow-total,,D,cfs,NA,1
537,Camanche,CA,11323500;60;3,USGS,outflow-total,,D,cfs,NA,1
585,Drop 1,CA,9527700;60;3,USGS,outflow-total,,D,cfs,gauge below Drop 2,1
622,South Fork Tolt,WA,12148300;60;3,USGS,outflow-total,,D,cfs,below reregulating basin,1
626,Oak Flat,CA,11401112;60;3,USGS,outflow-total,,D,cfs,NA,1
763,Hell Hole,CA,11428800;60;3,USGS,outflow-total,,D,cfs,NA,1
790,Gem State,ID,13060000;60;3,USGS,outflow-total,,D,cfs,NA,1
809,American Falls,ID,13077000;60;3,USGS,outflow-total,,D,cfs,NA,1
810,Bliss,ID,13153776;60;3,USGS,outflow-total,,D,cfs,NA,1
811,Brownlee,ID,13290450;60;3,USGS,outflow-total,,D,cfs,NA,1
812,C J Strike,ID,13171620;60;3,USGS,outflow-total,,D,cfs,NA,1
813,Cascade,ID,13245000;60;3,USGS,outflow-total,,D,cfs,NA,1
815,Lower Malad,ID,13153500;60;3,USGS,outflow-total,,D,cfs,downstream of pp,1
816,Lower Salmon,ID,13135000;60;3,USGS,outflow-total,,D,cfs,NA,1
818,Shoshone Falls,ID,13090500;60;3,USGS,outflow-total,,D,cfs,6km downstream,1
819,Swan Falls,ID,13172500;60;3,USGS,outflow-total,,D,cfs,NA; no gauge,1
821,Twin Falls,ID,13090000;60;3,USGS,outflow-total,,D,cfs,NA,1
822,Upper Salmon A,ID,13135000;60;3,USGS,outflow-total,,D,cfs,gauge downstream of Lower Salmon,1
823,Upper Malad,ID,13153500;60;3,USGS,outflow-total,,D,cfs,gauge missing diversion to Lower Malad,1
825,Ashton,ID,13046000;60;3,USGS,outflow-total,,D,cfs,1km downstream,1
829,Oneida,ID,10086500;60;3,USGS,outflow-total,,D,cfs,NA,1
831,Soda,ID,10079500;60;3,USGS,outflow-total,,D,cfs,NA,1
832,St Anthony,ID,13050500;60;3,USGS,outflow-total,,D,cfs,inflow upstream of pp,1
835,Post Falls,ID,12419000;60;3,USGS,outflow-total,,D,cfs,NA,1
841,City Power Plant,ID,13060000;60;3,USGS,outflow-total,,D,cfs,below Gem State,1
843,Lower No 2,ID,13060000;60;3,USGS,outflow-total,,D,cfs,below Gem State,1
844,Upper Power Plant,ID,13060000;60;3,USGS,outflow-total,,D,cfs,below Gem State,1
850,Palisades,ID,13032500;60;3,USGS,outflow-total,,D,cfs,NA,1
977,Lewiston,CA,11525500;60;3,USGS,outflow-total,,D,cfs,NA,1
987,Last Chance,ID,10079500;60;3,USGS,outflow-total,,D,cfs,gauge upstream 5km,1
1020,Manti Canyon Lower,UT,10215900;60;3,USGS,outflow-total,,D,cfs,may not be representative as source water is springs and water system,1
2181,Black Eagle,MT,6090300;60;3,USGS,outflow-total,,D,cfs,downstream of Morony in cascade of 5 pp,1
2182,Cochrane,MT,6090300;60;3,USGS,outflow-total,,D,cfs,downstream of Morony in cascade of 5 pp,1
2185,Hauser,MT,6065500;60;3,USGS,outflow-total,,D,cfs,NA,1
2186,Holter,MT,6066500;60;3,USGS,outflow-total,,D,cfs,NA,1
2188,Selis Ksanka Qlispe,MT,12372000;60;3,USGS,outflow-total,,D,cfs,NA,1
2191,Morony,MT,6090300;60;3,USGS,outflow-total,,D,cfs,NA,1
2192,Mystic Lake,MT,6204050;60;3,USGS,outflow-total,,D,cfs,NA,1
2193,Rainbow,MT,6090300;60;3,USGS,outflow-total,,D,cfs,downstream of Morony in cascade of 5 pp,1
2194,Ryan,MT,6090300;60;3,USGS,outflow-total,,D,cfs,downstream of Morony in cascade of 5 pp,1
2195,Thompson Falls,MT,12389000+12389500;60;3,USGS,outflow-total,,D,cfs,upstream gauges; sum approximates inflow; misses effect of storage,1
3013,Hells Canyon,OR,13290450;60;3,USGS,outflow-total,,D,cfs,NA,1
3014,Oxbow,OR,13290450;60;3,USGS,outflow-total,,D,cfs,gauge downstream of Hells Canyon,1
3025,East Side,OR,11507500;60;3,USGS,outflow-total,,D,cfs,gauge upstream of diversion return,1
3028,John C Boyle,OR,11510700;60;3,USGS,outflow-total,,D,cfs,NA,1
3032,Prospect 1,OR,14330000;60;3,USGS,outflow-total,,D,cfs,NA,1
3033,Prospect 2,OR,14330000;60;3,USGS,outflow-total,,D,cfs,NA,1
