eia_id,huc4
295,1801
294,1801
3028,1801
10737,1801
10282,1801
266,1802
267,1802
268,1802
249,1802
269,1802
270,1802
243,1802
265,1802
50179,1802
55009,1802
10708,1802
50961,1802
10882,1802
10881,1802
10458,1802
10706,1802
50223,1802
10707,1802
10880,1802
441,1802
444,1802
7151,1802
7224,1802
262,1802
7229,1802
238,1802
7338,1802
220,1802
714,1802
231,1802
275,1802
424,1802
763,1802
425,1802
427,1802
426,1802
417,1802
419,1802
776,1802
2982,1107
432,1802
433,1802
6612,1802
431,1802
430,1802
522,1802
435,1802
534,1802
221,1802
222,1802
223,1802
219,1802
626,1802
272,1802
225,1802
454,1802
4229,1802
455,1802
50546,1802
413,1802
412,1802
34,1802
632,1802
283,1802
281,1802
282,1802
235,1802
236,1802
237,1802
233,1802
214,1802
846,1802
847,1802
531,1802
50892,1802
50128,1802
50129,1802
839,1802
10253,1802
7507,1802
54653,1802
242,1802
255,1802
443,1802
445,1802
450,1802
7646,1802
7189,1802
224,1802
253,1802
229,1802
232,1802
290,1802
180,1802
280,1802
248,1802
227,1802
418,1802
7129,1802
241,1802
292,1802
50156,1802
50350,1802
10709,1802
10222,1803
54343,1803
10139,1803
328,1803
58606,1803
7907,1803
217,1803
218,1803
7911,1803
337,1803
336,1803
338,1803
365,1803
289,1803
340,1803
240,1803
254,1803
339,1803
244,1802
7164,1507
50037,1803
6158,1804
7043,1603
6100,1803
50393,1804
50322,1804
50755,1804
322,1804
321,1804
446,1804
250,1804
682,1804
319,1804
279,1804
287,1804
291,1804
239,1804
264,1804
230,1804
277,1804
276,1804
278,1804
293,1804
414,1804
415,1804
320,1804
261,1804
416,1804
344,1804
285,1804
284,1804
354,1804
317,1804
318,1804
410,1804
409,1804
439,1804
54554,1804
54555,1804
258,1804
215,1804
161,1804
162,1804
376,1804
537,1804
50400,1804
428,1804
461,1804
459,1804
489,1804
751,1804
499,1804
380,1804
381,1804
382,1804
440,1804
50218,1804
50219,1804
50180,1802
50352,1806
6449,1807
50076,1807
905,1809
448,1804
6196,1807
6643,1807
6644,1807
6645,1807
6646,1807
6647,1807
316,1807
72,1807
50233,1807
482,1807
483,1807
50375,1807
54017,1807
487,1807
56125,1807
397,1807
396,1807
403,1807
6479,1807
6480,1807
7077,1807
104,1804
343,1807
361,1807
362,1807
363,1807
346,1807
9762,1807
7147,1807
436,1807
332,1807
479,1807
480,1807
481,1807
745,1807
458,1807
457,1807
50147,1807
50492,1807
484,1807
7942,1807
56615,1807
57729,1807
353,1809
357,1809
342,1809
323,1809
324,1809
325,1809
326,1809
327,1809
391,1809
393,1809
394,1809
395,1809
398,1809
407,1809
401,1809
402,1809
7072,1809
388,1503
359,1810
10162,1810
586,1810
6370,1810
314,1810
4120,0403
91,1901
84,1901
66,1901
6581,1901
6580,1901
6291,1902
93,1901
7334,1901
7333,1901
65,1901
62,1901
390,1902
71,1902
313,1901
70,1901
7367,1902
7042,1902
6702,1901
7752,1901
7751,1901
7862,1902
7547,1902
56542,1901
57085,1901
58982,1902
58977,1901
77,1902
78,1901
63,1901
6302,1901
7168,1901
7410,1902
10412,2007
771,2001
774,2001
7493,1903
10413,2007
10604,2002
50333,2007
54827,2001
10073,2007
56265,1901
55864,2002
58277,2002
61166,1901
60466,1807
7183,1903
58645,1203
58434,0710
58977,0107
62322,0202
6400,1003
54688,0109
580,0110
583,0110
551,0110
582,0110
